Connmodel_Acc,Connmodel_MCC,Connmodel_F1,XGBoost_Acc,XGBoost_MCC,XGBoost_F1,AutoML_Acc,AutoML_MCC,AutoML_F1,TabNet_Acc,TabNet_MCC,TabNet_F1
,,,0.799,0.551,0.85,,,,,,
0.782,0.515,0.835,,,,,,,,,
,,,,,,,,,0.795,0.542,0.847
,,,,,,0.825,0.611,0.868,,,
